PlayerId,NameFirst,NameLast,CurrentHandle,CountryCode,TotalUSDPrize
3304,Johan,Sundstein,N0tail,dk,7184163.05
3822,Jesse,Vainikka,JerAx,fi,6486623.98
30451,Anathan,Pham,ana,au,6024411.96
15855,Yaroslav,Naidenov,Miposhka,ru,5957771.49
2811,Sébastien,Debs,Ceb,fr,5949442.73
18897,Topias,Taavitsainen,Topson,fi,5898810.60
70584,Magomed,Khalilov,Collapse,ru,5670111.07
70916,Ilya,Mulyarchuk,Yatoro,ua,5662736.05
71806,Miroslaw,Kolpakov,Mira,ua,5574899.05
3145,Kuro,Takhasomi,KuroKy,de,5295698.85
14671,Amer,Al-Barkawi,Miracle-,jo,4913585.26
12133,Lasse,Urpalainen,Matumbaman,fi,4873086.24
12579,Ivan,Ivanov,MinD_ContRoL,bg,4703532.25
79215,Alexander,Khertek,TORONTOTOKYO,ru,4475863.50
25335,Maroun,Merhej,GH,lb,4342887.60
2578,Clement,Ivanov,Puppey,ee,4342228.38
5195,Ludwig,Wåhlberg,Zai,se,4292756.02
26665,Chunyu,Wang,Ame,cn,4263479.27
14196,Sumail,Hassan,SumaiL,pk,4120055.98
10712,Yiping,Zhang,y`,cn,4005742.20
26513,Ruida,Zhang,Faith_bian,cn,3915981.98
56483,Kyle,Giersdorf,Bugha,us,3744925.05
17765,Michał,Jankowski,Nisha,pl,3670426.48
19074,Martin,Sazdov,Saksa,mk,3507777.85
10188,Yao,Lu,Somnus,cn,3311808.66
15708,Neta,Shapira,33,il,3262145.70
9515,Andreas,Nielsen,Cr1t,dk,3199429.18
4033,Linsen,Xu,fy,cn,3159545.98
3254,Jingjun,Wu,Sneyking,us,3154529.59
2615,Saahil,Arora,UNiVeRsE,us,3057237.67
5194,Peter,Dager,ppd,us,3029331.36
3305,Tal,Aizik,Fly,il,2874570.06
24761,Oliver,Lepko,Skiter,sk,2803493.15
3524,Gustav,Magnusson,s4,se,2749194.70
4028,Artour,Babaev,Arteezy,ca,2714369.91
2610,Clinton,Loomis,Fear,us,2564904.63
10080,Liangzhi,Hu,KaKa,cn,2548691.89
14672,Yazied,Jaradat,YapzOr,jo,2298690.64
13080,Aliwi,Omar,w33,ro,2294325.43
14833,Zixing,Zhao,XinQ,cn,2263760.44
3883,Peter,Rasmussen,dupreeh,dk,2225525.08
16814,Roman,Kushnarev,RAMZES666,ru,2207611.08
59528,David,Wang,Aqua,at,2197375.23
22207,Jian Wei,Yap,xNova,my,2146691.12
3256,Kurtis,Ling,Aui_2000,ca,2073582.54
3946,Roman,Fominok,Resolut1on,ua,2063162.95
3885,Nicolai,Reedtz,dev1ce,dk,2060914.98
39770,Leon,Kirilin,Nine,de,2058860.94
2452,Finn,Andersen,karrigan,dk,2057702.62
18452,Samuel,Svahn,Boxi,se,2057343.66
9514,Marcus,Hoelgaard,Ace,dk,2055817.11
12229,Aydin,Sarkohi,iNsania,se,2055759.69
41267,Michael,Vu,miCKE,se,2051336.42
33561,Shenyi,Yang,Chalice,cn,2040114.72
3773,Aleksey,Berezin,Solo,ru,2038081.34
14238,Peng,Li,iceice,cn,2005164.63
3679,Andreas,Højsleth,Xyp9x,dk,2003061.83
26512,Zeyu,Chu,Shadow,cn,1982030.82
10711,Yang,Zhou,bLink,cn,1960761.59
25047,Harrison,Chang,psalm,us,1959500.00
70610,Siyuan,Luo,HuaHai,cn,1941993.39
42140,Jin Xiang,Cheng,NothingToSay,my,1935694.93
17800,Emil,Reif,Magisk,dk,1932723.63
3672,Lukas,Rossander,gla1ve,dk,1927503.03
30573,Quinn,Callahan,Quinn,us,1907970.27
53093,Tyler,Pharris,aBeZy,us,1882655.68
2596,Ning,Zhang,xiao8,cn,1877518.06
27134,Yeik Nai,Zheng,MidOne,my,1876531.44
60433,Bicheng,Xu,Yinuo,cn,1871202.59
13323,Vladimir,Minenko,Noone,ua,1867799.78
15530,Damien,Chok,kpii,au,1865667.57
61948,Shane,Cotton,EpikWhale,us,1838487.32
32897,Christopher,Lehr,Simp,us,1830078.33
5483,Håvard,Nygaard,rain,no,1818316.24
3832,Sang Hyeok,Lee,Faker,kr,1816084.56
1949,Daryl Koh,Pei Xiang,iceiceice,sg,1812855.42
91174,Denis,Sigitov,Larl,ru,1777224.07
60417,Yunfei,Peng,Fly,cn,1767497.60
3168,Hongda,Zeng,Faith,cn,1764633.21
3161,Junhao,Xie,Super,cn,1764310.33
20415,Russel,Van Dulken,Twistzz,ca,1762393.10
3146,Zhihao,Chen,Hao,cn,1761674.53
13322,Pavel,Khvastunov,9pasha,ru,1733385.13
8169,Oleksandr,Kostyljev,s1mple,ua,1722255.32
60467,Zhengzheng,Chen,Cat,cn,1716947.58
3888,Dan,Madesclaire,apEX,fr,1716265.64
95069,Daheng,Li,Pang,cn,1682659.41
36617,McArthur,Jovel,Cellium,us,1674298.93
5513,Joona,Sotala,Serral,fi,1663925.57
90011,Letian,Zhong,1dao,cn,1656199.27
16267,Denis,Sharipov,electroNic,ru,1645842.01
5783,Nikola,Kovač,NiKo,ba,1635260.15
31594,Robin,Kool,ropz,ee,1630827.41
97600,Youqi,Cai,Yu,cn,1626161.52
83369,Anas,El-Abd,Anas,dk,1622990.05
21950,Yangwei,Ren,old eLeVeN,cn,1570503.07
54656,Emil,Bergquist Pedersen,Nyhrox,no,1543145.69
30452,Peng,Du,Monet,cn,1535720.98
90008,Yaoqin,Huang,QingRong,cn,1535223.32
2582,Zhicheng,Zhang,LaNm,cn,1529400.71
