Actual_or_Forecast,Market_(Revenue_by_Market_USD),Year_(Revenue_by_Market_USD),Revenue
Actual,Sponsorship & Advertising,1/1/2017,339300000
Actual,Sponsorship & Advertising,1/1/2018,401300000
Actual,Sponsorship & Advertising,1/1/2019,479600000
Actual,Sponsorship & Advertising,1/1/2020,574300000
Actual,Sponsorship & Advertising,1/1/2021,681500000
Actual,Sponsorship & Advertising,1/1/2022,791900000
Actual,Sponsorship & Advertising,1/1/2023,894600000
Actual,Sponsorship & Advertising,1/1/2024,982800000
Forecast,Sponsorship & Advertising,1/1/2025,1055400000
Forecast,Sponsorship & Advertising,1/1/2026,1114300000
Forecast,Sponsorship & Advertising,1/1/2027,1162300000
Forecast,Sponsorship & Advertising,1/1/2028,1210300000
Forecast,Sponsorship & Advertising,1/1/2029,1258300000
Actual,Publisher Fees,1/1/2017,107300000
Actual,Publisher Fees,1/1/2018,110200000
Actual,Publisher Fees,1/1/2019,113800000
Actual,Publisher Fees,1/1/2020,118300000
Actual,Publisher Fees,1/1/2021,123400000
Actual,Publisher Fees,1/1/2022,129100000
Actual,Publisher Fees,1/1/2023,135100000
Actual,Publisher Fees,1/1/2024,140900000
Forecast,Publisher Fees,1/1/2025,146400000
Forecast,Publisher Fees,1/1/2026,151300000
Forecast,Publisher Fees,1/1/2027,155400000
Forecast,Publisher Fees,1/1/2028,159600000
Forecast,Publisher Fees,1/1/2029,163800000
Actual,Esports Betting,1/1/2017,559200000
Actual,Esports Betting,1/1/2018,625100000
Actual,Esports Betting,1/1/2019,864300000
Actual,Esports Betting,1/1/2020,1033600000
Actual,Esports Betting,1/1/2021,1339900000
Actual,Esports Betting,1/1/2022,1740500000
Actual,Esports Betting,1/1/2023,2129400000
Actual,Esports Betting,1/1/2024,2497300000
Forecast,Esports Betting,1/1/2025,2797600000
Forecast,Esports Betting,1/1/2026,3016900000
Forecast,Esports Betting,1/1/2027,3165300000
Forecast,Esports Betting,1/1/2028,3313700000
Forecast,Esports Betting,1/1/2029,3462100000
Actual,Streaming,1/1/2017,40800000
Actual,Streaming,1/1/2018,45000000
Actual,Streaming,1/1/2019,51200000
Actual,Streaming,1/1/2020,65000000
Actual,Streaming,1/1/2021,78400000
Actual,Streaming,1/1/2022,87400000
Actual,Streaming,1/1/2023,106900000
Actual,Streaming,1/1/2024,126400000
Forecast,Streaming,1/1/2025,144600000
Forecast,Streaming,1/1/2026,160100000
Forecast,Streaming,1/1/2027,172200000
Forecast,Streaming,1/1/2028,184300000
Forecast,Streaming,1/1/2029,196500000
Actual,Merchandise & Ticketing,1/1/2017,84200000
Actual,Merchandise & Ticketing,1/1/2018,101500000
Actual,Merchandise & Ticketing,1/1/2019,124500000
Actual,Merchandise & Ticketing,1/1/2020,80500000
Actual,Merchandise & Ticketing,1/1/2021,133900000
Actual,Merchandise & Ticketing,1/1/2022,180200000
Actual,Merchandise & Ticketing,1/1/2023,210600000
Actual,Merchandise & Ticketing,1/1/2024,242400000
Forecast,Merchandise & Ticketing,1/1/2025,271000000
Forecast,Merchandise & Ticketing,1/1/2026,295400000
Forecast,Merchandise & Ticketing,1/1/2027,315200000
Forecast,Merchandise & Ticketing,1/1/2028,335000000
Forecast,Merchandise & Ticketing,1/1/2029,354800000
Actual,Media Rights,1/1/2017,47100000
Actual,Media Rights,1/1/2018,79800000
Actual,Media Rights,1/1/2019,115600000
Actual,Media Rights,1/1/2020,154700000
Actual,Media Rights,1/1/2021,192600000
Actual,Media Rights,1/1/2022,233300000
Actual,Media Rights,1/1/2023,276600000
Actual,Media Rights,1/1/2024,318900000
Forecast,Media Rights,1/1/2025,363400000
Forecast,Media Rights,1/1/2026,396500000
Forecast,Media Rights,1/1/2027,430400000
Forecast,Media Rights,1/1/2028,464200000
Forecast,Media Rights,1/1/2029,498000000
